Alabama,"43,790 ",998 ,1.15 ,AL
Alaska,"58,710 ","1748 ",0.95 ,AK
Arizona,"49,290 ","1356 ",1.04 ,AZ
Arkansas,"41,540 ",953 ,1.15 ,AR
California,"59,150 ","2518 ",0.87 ,CA
Colorado,"55,820 ","1927 ",0.97 ,CO
Connecticut,"60,780 ","1803 ",0.92 ,CT
Delaware,"53,320 ","1435 ",1.00 ,DE
Florida,"46,010 ","1590 ",1.00 ,FL
Georgia,"48,280 ","1262 ",1.09 ,GA
Hawaii,"52,900 ","2481 ",0.84 ,HI
Idaho,"43,480 ","1238 ",1.08 ,ID
Illinois,"53,790 ","1463 ",1.01 ,IL
Indiana,"45,290 ","1113 ",1.11 ,IN
Iowa,"46,150 ","1057 ",1.11 ,IA
Kansas,"45,280 ","1051 ",1.10 ,KS
Kentucky,"43,210 ","1084 ",1.14 ,KY
Louisiana,"42,660 ","1245 ",1.11 ,LA
Maine,"46,810 ","1466 ",1.02 ,ME
Maryland,"58,770 ","1807 ",0.91 ,MD
Massachusetts,"63,910 ","2252 ",0.93 ,MA
Michigan,"49,510 ","1110 ",1.07 ,MI
Minnesota,"54,200 ","1449 ",1.03 ,MN
Mississippi,"39,420 ","1055 ",1.16 ,MS
Missouri,"46,460 ","1047 ",1.12 ,MO
Montana,"43,860 ","1234 ",1.06 ,MT
Nebraska,"46,710 ","1253 ",1.10 ,NE
Nevada,"46,170 ","1423 ",1.03 ,NV
New Hampshire,"52,350 ","1748 ",0.94 ,NH
New Jersey,"58,210 ","2062 ",0.88 ,NJ
New Mexico,"45,400 ","1200 ",1.07 ,NM
New York,"61,870 ","2050 ",0.87 ,NY
North Carolina,"47,200 ","1208 ",1.10 ,NC
North Dakota,"49,620 ","1290 ",1.09 ,ND
Ohio,"48,220 ","1113 ",1.12 ,OH
Oklahoma,"44,220 ",950 ,1.12 ,OK
Oregon,"52,000 ","1707 ",1.00 ,OR
Pennsylvania,"50,030 ","1242 ",1.02 ,PA
Rhode Island,"54,810 ","1725 ",1.00 ,RI
South Carolina,"43,210 ","1209 ",1.11 ,SC
South Dakota,"41,800 ","1213 ",1.13 ,SD
Tennessee,"44,660 ","1153 ",1.11 ,TN
Texas,"49,720 ","1455 ",1.03 ,TX
Utah,"47,920 ","1526 ",1.03 ,UT
Vermont,"50,150 ","1599 ",0.98 ,VT
Virginia,"55,310 ","1452 ",0.98 ,VA
Washington,"59,410 ","1838 ",0.95 ,WA
West Virginia,"42,370 ",888 ,1.14 ,WV
Wisconsin,"47,350 ","1141 ",1.08 ,WI
Wyoming,"48,630 ","1149 ",1.03 ,WY
Washington DC,,"2239 ",0.84 ,DC
